nombre;year;cantidad;diff
ABRIHANA ;2020;1;0,0
ABRIHANA ;2021;1;0,0
ABRIHANNI ;2021;1;0,0
ABRIL ;2010;29;28,0
ABRIL ;2011;23;-6,0
ABRIL ;2012;24;1,0
ABRIL ;2013;24;0,0
ABRIL ;2014;27;3,0
ABRIL ;2015;43;16,0
ABRIL ;2016;42;-1,0
ABRIL ;2017;38;-4,0
ABRIL ;2018;37;-1,0
ABRIL ;2019;42;5,0
ABRIL ;2020;48;6,0
ABRIL ;2021;49;1,0
ABRILL ;2010;1;-48,0
ABRILL ;2011;2;1,0
ABRILL ;2013;1;-1,0
ABRILL ;2015;1;0,0
ABRILL ;2017;1;0,0
ABRILL ;2018;1;0,0
ABRILL ;2021;1;0,0
ABRILLE ;2011;1;0,0
ABRINET ;2012;1;0,0
ABRISH ;2019;1;0,0
ABRUCCI ;2012;1;0,0
ABRYL ;2017;1;0,0
ABRÁN ;2010;1;0,0
ABSALOM ;2012;1;0,0
ABSALOM ;2015;2;1,0
ABSALON ;2012;1;-1,0
ABSALON ;2021;1;0,0
ABSALÓN ;2010;4;3,0
ABSALÓN ;2011;3;-1,0
ABSALÓN ;2012;2;-1,0
ABSALÓN ;2013;2;0,0
ABSALÓN ;2014;2;0,0
ABSALÓN ;2015;3;1,0
ABSALÓN ;2016;5;2,0
ABSALÓN ;2017;1;-4,0
ABSALÓN ;2018;1;0,0
ABSALÓN ;2019;1;0,0
ABSALÓN ;2020;3;2,0
ABSALÓN ;2021;2;-1,0
ABSDERLEY ;2018;1;-1,0
ABSHALOM ;2016;1;0,0
ABSOLEM ;2014;1;0,0
ABSSALOM ;2017;1;0,0
ABTÍN ;2020;1;0,0
ABU ;2015;1;0,0
ABUBAKAR ;2021;2;1,0
ABUHURERA ;2018;1;-1,0
ABY ;2010;1;0,0
ABY ;2011;2;1,0
ABY ;2012;2;0,0
ABY ;2013;2;0,0
ABY ;2014;2;0,0
ABY ;2016;6;4,0
ABY ;2017;1;-5,0
ABY ;2018;1;0,0
ABY ;2019;1;0,0
ABY ;2020;3;2,0
ABYEL ;2012;1;-2,0
ABYGAIL ;2010;1;0,0
ABYGAIL ;2011;1;0,0
ABYGAIL ;2012;2;1,0
ABYGAIL ;2013;3;1,0
ABYGAIL ;2015;1;-2,0
ABYGAIL ;2018;1;0,0
ABYGAIL ;2019;1;0,0
ABYGAIL ;2020;1;0,0
ABYGAIL ;2021;1;0,0
ABYGAILD ;2015;1;0,0
ABYGAILH ;2013;1;0,0
ABYLEEY ;2017;1;0,0
ABYLEN ;2016;1;0,0
ABYMALETTE ;2010;1;0,0
ABYSAY ;2015;1;0,0
ABZAEL ;2019;1;0,0
ABÍ ;2020;1;0,0
ABÍMAEL ;2021;1;0,0
ABÏDAELLE ;2019;1;0,0
ABÚ ;2018;1;0,0
ACACIA ;2011;1;0,0
ACACIA ;2014;1;0,0
ACACIA ;2015;4;3,0
ACACIA ;2017;3;-1,0
ACACIA ;2020;1;-2,0
ACACIA ;2021;1;0,0
ACAI ;2020;1;0,0
ACALIA ;2010;1;0,0
ACAR ;2014;1;0,0
ACASIA ;2011;1;0,0
ACASIA ;2015;1;0,0
ACAÑIR ;2013;1;0,0
ACAÑIR ;2019;1;0,0
ACCEL ;2019;1;0,0
ACCEN ;2014;1;0,0
ACEFI ;2019;1;0,0
ACEL ;2017;1;0,0
ACENET ;2014;1;0,0
ACENET ;2015;1;0,0
ACENET ;2020;1;0,0
ACENETH ;2011;1;0,0
ACENETH ;2016;2;1,0
ACENETH ;2020;1;-1,0
ACFRE ;2018;1;0,0
ACHAIAH ;2019;1;0,0
ACHAIDA ;2018;1;0,0
ACHANARIEL ;2021;1;0,0
ACHANTY ;2016;1;0,0
ACHBED ;2019;1;0,0
ACHDLEYNICA ;2018;1;0,0
ACHEL ;2021;1;0,0
ACHELEY ;2011;1;0,0
ACHELEY ;2012;1;0,0
ACHELEY ;2018;2;1,0
ACHELEY ;2020;1;-1,0
ACHELIDA ;2018;1;0,0
ACHELIE ;2018;1;0,0
ACHELINE ;2018;1;0,0
ACHELINE ;2019;1;0,0
ACHENA ;2012;1;0,0
ACHENANEIKA ;2019;1;0,0
