nombre;year;cantidad_x;diff;cantidad_y;pct_yoy;_merge
ADALÍ ;2019;1;0,0;;;left_only
ADALÍA ;2013;1;-2,0;;;left_only
ADALÍA ;2018;1;0,0;;;left_only
ADALÍA ;2019;1;0,0;;;left_only
ADALÍA ;2020;1;0,0;;;left_only
ADALÍAH ;2021;1;0,0;;;left_only
ADALÍS ;2012;1;0,0;;;left_only
ADALÍS ;2016;1;0,0;;;left_only
ADALÍS ;2021;1;0,0;;;left_only
ADAM ;2011;13;-1,0;;;left_only
ADAM ;2012;12;-1,0;;;left_only
ADAM ;2013;11;-1,0;;;left_only
ADAM ;2014;13;2,0;;;left_only
ADAM ;2015;7;-6,0;;;left_only
ADAM ;2016;19;12,0;;;left_only
